arquivo,densidade,m,n,status,custo,tempo_s
scp41.txt,0.0200,200,1000,OPTIMAL,41,0.009133
scp410.txt,0.0195,200,1000,OPTIMAL,43,0.009736
scp42.txt,0.0199,200,1000,OPTIMAL,41,0.00851
scp43.txt,0.0199,200,1000,OPTIMAL,43,0.00889
scp44.txt,0.0200,200,1000,OPTIMAL,44,0.009453
scp45.txt,0.0197,200,1000,OPTIMAL,44,0.010323
scp46.txt,0.0204,200,1000,OPTIMAL,43,0.011219
scp47.txt,0.0196,200,1000,OPTIMAL,43,0.011038
scp48.txt,0.0201,200,1000,OPTIMAL,42,0.010679
scp49.txt,0.0198,200,1000,OPTIMAL,42,0.011632
scp51.txt,0.0200,200,2000,OPTIMAL,37,0.027211
scp510.txt,0.0200,200,2000,OPTIMAL,39,0.029508
scp52.txt,0.0200,200,2000,OPTIMAL,38,0.015156
scp53.txt,0.0200,200,2000,OPTIMAL,37,0.019792
scp54.txt,0.0198,200,2000,OPTIMAL,39,0.017858
scp55.txt,0.0196,200,2000,OPTIMAL,37,0.017293
scp56.txt,0.0200,200,2000,OPTIMAL,40,0.016431
scp57.txt,0.0201,200,2000,OPTIMAL,38,0.016563
scp58.txt,0.0198,200,2000,OPTIMAL,39,0.017462
scp59.txt,0.0197,200,2000,OPTIMAL,38,0.016147
scp61.txt,0.0492,200,1000,OPTIMAL,23,0.005258
scp62.txt,0.0500,200,1000,OPTIMAL,22,0.004699
scp63.txt,0.0496,200,1000,OPTIMAL,23,0.005425
scp64.txt,0.0493,200,1000,OPTIMAL,22,0.004827
scp65.txt,0.0497,200,1000,OPTIMAL,23,0.005034
scpa1.txt,0.0201,300,3000,OPTIMAL,42,0.028052
scpa2.txt,0.0201,300,3000,OPTIMAL,42,0.028623
scpa3.txt,0.0201,300,3000,OPTIMAL,43,0.029549
scpa4.txt,0.0201,300,3000,OPTIMAL,41,0.053075
scpa5.txt,0.0201,300,3000,OPTIMAL,43,0.057165
scpb1.txt,0.0499,300,3000,OPTIMAL,24,0.016631
scpb2.txt,0.0499,300,3000,OPTIMAL,23,0.016203
scpb3.txt,0.0499,300,3000,OPTIMAL,23,0.01543
scpb4.txt,0.0499,300,3000,OPTIMAL,24,0.017089
scpb5.txt,0.0499,300,3000,OPTIMAL,25,0.018014
scpc1.txt,0.0200,400,4000,OPTIMAL,47,0.050449
scpc2.txt,0.0200,400,4000,OPTIMAL,47,0.058273
scpc3.txt,0.0200,400,4000,OPTIMAL,47,0.046624
scpc4.txt,0.0200,400,4000,OPTIMAL,46,0.048578
scpc5.txt,0.0200,400,4000,OPTIMAL,47,0.051496
scpd1.txt,0.0501,400,4000,OPTIMAL,27,0.044127
scpd2.txt,0.0501,400,4000,OPTIMAL,26,0.048248
scpd3.txt,0.0501,400,4000,OPTIMAL,27,0.04781
scpd4.txt,0.0500,400,4000,OPTIMAL,26,0.030091
scpd5.txt,0.0500,400,4000,OPTIMAL,27,0.0402
