arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
scp42.txt,0.0199,200,1000,TIMEOUT,41,19728289,9408708,20.95,7200.000382
scp41.txt,0.0200,200,1000,TIMEOUT,41,19196591,9085446,20.95,7200.000286
scp410.txt,0.0195,200,1000,TIMEOUT,43,20705873,8859250,20.95,7200.000709
scp43.txt,0.0199,200,1000,TIMEOUT,43,19581676,8936126,20.95,7200.000255
scp44.txt,0.0200,200,1000,TIMEOUT,44,19900886,9131591,20.93,7200.000357
scp46.txt,0.0204,200,1000,TIMEOUT,43,19139837,9096930,20.93,7200.000256
scp45.txt,0.0197,200,1000,TIMEOUT,44,19556103,9158325,21.06,7200.000321
scp47.txt,0.0196,200,1000,TIMEOUT,43,19024641,8873016,20.93,7200.000206
scp49.txt,0.0198,200,1000,TIMEOUT,42,24123388,11693004,21.5,7200.000144
scp48.txt,0.0201,200,1000,TIMEOUT,42,25163539,11572536,21.43,7200.000108
scp51.txt,0.0200,200,2000,TIMEOUT,37,11281910,5489344,21.56,7200.00015
