arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
scp53.txt,0.0200,200,2000,TIMEOUT,37,8983013,4314547,21.15,7200.000367
scp52.txt,0.0200,200,2000,TIMEOUT,38,8673257,4247206,21.07,7200.000277
scp510.txt,0.0200,200,2000,TIMEOUT,39,8994370,4404406,21.06,7200.000287
scp54.txt,0.0198,200,2000,TIMEOUT,39,10126969,4503339,21.09,7200.000698
scp55.txt,0.0196,200,2000,TIMEOUT,37,9366317,4500966,21.66,7200.000198
scp56.txt,0.0200,200,2000,TIMEOUT,40,9830459,4503272,21.64,7200.000106
scp57.txt,0.0201,200,2000,TIMEOUT,38,9300476,4503590,21.63,7200.000107
scp58.txt,0.0198,200,2000,TIMEOUT,39,9607331,4534293,21.59,7200.000124
scp59.txt,0.0197,200,2000,TIMEOUT,38,9160915,4402975,21.66,7200.000179
scp61.txt,0.0492,200,1000,TIMEOUT,23,17445310,8645498,21.64,7200.00009
scp62.txt,0.0500,200,1000,TIMEOUT,22,18546869,9100488,21.63,7200.000088
scp63.txt,0.0496,200,1000,TIMEOUT,23,18602541,8884608,21.59,7200.000085
