arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
scp64.txt,0.0493,200,1000,TIMEOUT,22,29968825,14919247,17.39,7200.00038
scp65.txt,0.0497,200,1000,TIMEOUT,23,30268143,14961149,17.39,7200.000102
scpa1.txt,0.0201,300,3000,TIMEOUT,42,9214763,4586883,17.39,7200.000072
scpa2.txt,0.0201,300,3000,TIMEOUT,42,9221505,4551547,17.39,7200.000089
scpa3.txt,0.0201,300,3000,TIMEOUT,43,9541925,4707183,17.39,7200.000079
scpa4.txt,0.0201,300,3000,TIMEOUT,41,9320450,4610185,17.39,7200.000163
scpa5.txt,0.0201,300,3000,TIMEOUT,43,9859038,4786169,17.39,7200.000073
scpb1.txt,0.0499,300,3000,TIMEOUT,24,9039205,4498438,17.39,7200.000124
scpb2.txt,0.0499,300,3000,TIMEOUT,23,8174098,4080942,17.39,7200.000073
scpb3.txt,0.0499,300,3000,TIMEOUT,23,8591070,4292924,17.12,7200.000134
scpb4.txt,0.0499,300,3000,TIMEOUT,24,8406583,4199583,17.12,7200.000082
