arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
scpb5.txt,0.0499,300,3000,TIMEOUT,25,10568365,5168729,17.03,7200.000186
scpc1.txt,0.0200,400,4000,TIMEOUT,47,6273878,3123406,17.03,7200.00041
scpc2.txt,0.0200,400,4000,TIMEOUT,47,6843746,3340306,17.03,7200.000094
scpc3.txt,0.0200,400,4000,TIMEOUT,47,7005869,3395046,17.03,7200.000112
scpc4.txt,0.0200,400,4000,TIMEOUT,46,6564245,3213059,17.03,7200.000085
scpc5.txt,0.0200,400,4000,TIMEOUT,47,6441517,3143395,17.03,7200.000095
scpd1.txt,0.0501,400,4000,TIMEOUT,27,6413946,3190257,17.93,7200.000135
scpd2.txt,0.0501,400,4000,TIMEOUT,26,6001321,2995133,18.06,7200.000316
scpd3.txt,0.0501,400,4000,TIMEOUT,27,5805194,2893214,18.3,7200.000084
scpd4.txt,0.0500,400,4000,TIMEOUT,26,6115589,3052597,17.51,7200.000365
scpd5.txt,0.0500,400,4000,TIMEOUT,27,6207190,3090116,18.05,7200.000078
