arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m100_n75_s60.txt,0.1,100,75,OPTIMAL,15,8306573,4102782,11.81,261.042613
rand_d0.1_m100_n75_s61.txt,0.1,100,75,OPTIMAL,14,1579059,781179,11.81,58.878184
rand_d0.1_m100_n75_s62.txt,0.1,100,75,OPTIMAL,15,1550170,767885,11.81,50.27117
rand_d0.1_m100_n75_s63.txt,0.1,100,75,OPTIMAL,15,1291121,632162,11.81,42.88292
rand_d0.1_m100_n75_s64.txt,0.1,100,75,OPTIMAL,13,33480,16706,11.81,1.529824
rand_d0.1_m100_n75_s65.txt,0.1,100,75,OPTIMAL,15,2868087,1418817,11.81,102.626633
rand_d0.1_m100_n75_s66.txt,0.1,100,75,OPTIMAL,14,10576488,5237734,11.81,355.681205
rand_d0.1_m100_n75_s67.txt,0.1,100,75,OPTIMAL,13,457420,226477,11.81,15.793519
rand_d0.1_m100_n75_s68.txt,0.1,100,75,OPTIMAL,14,1605445,794019,11.81,48.926843
rand_d0.1_m100_n75_s69.txt,0.1,100,75,OPTIMAL,15,20767396,10267958,11.81,610.571424
rand_d0.1_m100_n75_s70.txt,0.1,100,75,OPTIMAL,13,3637244,1802066,11.81,114.875169
rand_d0.1_m100_n75_s71.txt,0.1,100,75,OPTIMAL,14,924230,454645,11.81,36.078551
rand_d0.1_m100_n75_s72.txt,0.1,100,75,OPTIMAL,14,316984,158192,11.81,13.175262
rand_d0.1_m100_n75_s73.txt,0.1,100,75,OPTIMAL,14,2580833,1275578,11.81,84.85101
rand_d0.1_m100_n75_s74.txt,0.1,100,75,OPTIMAL,16,164387,78711,11.81,4.999978
rand_d0.1_m100_n75_s75.txt,0.1,100,75,OPTIMAL,13,6398871,3179104,11.81,189.205056
rand_d0.1_m100_n75_s76.txt,0.1,100,75,OPTIMAL,16,4262966,2122196,11.81,158.694979
rand_d0.1_m100_n75_s77.txt,0.1,100,75,OPTIMAL,14,27494983,13656600,11.81,691.472267
rand_d0.1_m100_n75_s78.txt,0.1,100,75,OPTIMAL,15,13880041,6785778,11.81,409.860071
rand_d0.1_m100_n75_s79.txt,0.1,100,75,OPTIMAL,14,450213,221918,11.81,14.641473
rand_d0.1_m125_n75_s80.txt,0.1,125,75,OPTIMAL,16,22422492,11143456,11.81,764.660575
rand_d0.1_m125_n75_s81.txt,0.1,125,75,OPTIMAL,15,27959396,13895122,11.81,875.305227
rand_d0.1_m125_n75_s82.txt,0.1,125,75,OPTIMAL,14,214532,103851,11.81,6.978952
rand_d0.1_m125_n75_s83.txt,0.1,125,75,OPTIMAL,17,13593410,6738824,11.81,392.424128
rand_d0.1_m125_n75_s84.txt,0.1,125,75,OPTIMAL,14,3969238,1918387,11.81,92.175809
rand_d0.1_m125_n75_s85.txt,0.1,125,75,OPTIMAL,16,1461745,727295,11.81,61.659662
rand_d0.1_m125_n75_s86.txt,0.1,125,75,OPTIMAL,16,1912247,951117,11.81,68.066953
rand_d0.1_m125_n75_s87.txt,0.1,125,75,OPTIMAL,16,2755058,1364384,11.81,110.178145
rand_d0.1_m125_n75_s88.txt,0.1,125,75,OPTIMAL,13,465107,231133,11.81,14.996611
rand_d0.1_m125_n75_s89.txt,0.1,125,75,TIMEOUT,16,73567250,36306426,11.81,1800.00112
rand_d0.1_m125_n75_s90.txt,0.1,125,75,OPTIMAL,15,17851283,8874495,11.81,534.971228
rand_d0.1_m125_n75_s91.txt,0.1,125,75,OPTIMAL,15,8616422,4267204,11.81,273.052801
rand_d0.1_m125_n75_s92.txt,0.1,125,75,OPTIMAL,15,4266693,2123523,11.81,142.931448
rand_d0.1_m125_n75_s93.txt,0.1,125,75,OPTIMAL,15,3710585,1837550,11.81,125.485083
rand_d0.1_m125_n75_s94.txt,0.1,125,75,OPTIMAL,16,38080618,18853901,11.81,1301.377599
rand_d0.1_m125_n75_s95.txt,0.1,125,75,OPTIMAL,16,2236043,1103806,11.81,74.885495
rand_d0.1_m125_n75_s96.txt,0.1,125,75,OPTIMAL,16,4380119,2171947,11.81,158.888579
rand_d0.1_m125_n75_s97.txt,0.1,125,75,OPTIMAL,15,18733760,9294248,11.81,525.594839
rand_d0.1_m125_n75_s98.txt,0.1,125,75,OPTIMAL,16,3599869,1791812,11.81,146.293398
rand_d0.1_m125_n75_s99.txt,0.1,125,75,OPTIMAL,14,388258,191333,11.81,14.94207
rand_d0.1_m25_n75_s0.txt,0.1,25,75,OPTIMAL,7,763,356,11.81,0.03175
rand_d0.1_m25_n75_s1.txt,0.1,25,75,OPTIMAL,7,641,315,11.81,0.0264
rand_d0.1_m25_n75_s10.txt,0.1,25,75,OPTIMAL,8,5357,2332,11.81,0.146401
rand_d0.1_m25_n75_s11.txt,0.1,25,75,OPTIMAL,9,1888,861,11.81,0.067534
rand_d0.1_m25_n75_s12.txt,0.1,25,75,OPTIMAL,7,187,88,11.81,0.005384
rand_d0.1_m25_n75_s13.txt,0.1,25,75,OPTIMAL,8,1834,843,11.81,0.04069
rand_d0.1_m25_n75_s14.txt,0.1,25,75,OPTIMAL,7,259,127,11.81,0.010005
rand_d0.1_m25_n75_s15.txt,0.1,25,75,OPTIMAL,8,1054,466,11.81,0.040035
rand_d0.1_m25_n75_s16.txt,0.1,25,75,OPTIMAL,7,253,126,11.81,0.010784
rand_d0.1_m25_n75_s17.txt,0.1,25,75,OPTIMAL,7,1339,637,11.81,0.044288
rand_d0.1_m25_n75_s18.txt,0.1,25,75,OPTIMAL,8,4611,2026,11.81,0.181589
rand_d0.1_m25_n75_s19.txt,0.1,25,75,OPTIMAL,7,74,32,11.81,0.002599
rand_d0.1_m25_n75_s2.txt,0.1,25,75,OPTIMAL,8,12247,5570,11.81,0.221004
rand_d0.1_m25_n75_s3.txt,0.1,25,75,OPTIMAL,7,5789,2692,11.81,0.110224
rand_d0.1_m25_n75_s4.txt,0.1,25,75,OPTIMAL,8,309,155,11.81,0.010256
rand_d0.1_m25_n75_s5.txt,0.1,25,75,OPTIMAL,6,2205,1017,11.81,0.042526
rand_d0.1_m25_n75_s6.txt,0.1,25,75,OPTIMAL,7,949,466,11.81,0.024025
