instance,m,n,greedy_cost,opt_cost,approx_ratio,sets_selected
adv_m1000_n11.txt,1000,11,9,2,4.5,9
adv_m1250_n12.txt,1250,12,10,2,5.0,10
adv_m125_n8.txt,125,8,6,2,3.0,6
adv_m1500_n12.txt,1500,12,10,2,5.0,10
adv_m1750_n12.txt,1750,12,10,2,5.0,10
adv_m2000_n12.txt,2000,12,10,2,5.0,10
adv_m2250_n13.txt,2250,13,11,2,5.5,11
adv_m2500_n13.txt,2500,13,11,2,5.5,11
adv_m250_n9.txt,250,9,7,2,3.5,7
adv_m2750_n13.txt,2750,13,11,2,5.5,11
adv_m3000_n13.txt,3000,13,11,2,5.5,11
adv_m3250_n13.txt,3250,13,11,2,5.5,11
adv_m3500_n13.txt,3500,13,11,2,5.5,11
adv_m3750_n13.txt,3750,13,11,2,5.5,11
adv_m4000_n13.txt,4000,13,11,2,5.5,11
adv_m4250_n14.txt,4250,14,12,2,6.0,12
adv_m4500_n14.txt,4500,14,12,2,6.0,12
adv_m4750_n14.txt,4750,14,12,2,6.0,12
adv_m500_n10.txt,500,10,8,2,4.0,8
adv_m750_n11.txt,750,11,9,2,4.5,9
