arquivo,densidade,m,n,status,custo,tempo_s
rand_d0.1_m100_n75_s60.txt,0.1,100,75,OPTIMAL,16,0.000261
rand_d0.1_m100_n75_s61.txt,0.1,100,75,OPTIMAL,18,0.000346
rand_d0.1_m100_n75_s62.txt,0.1,100,75,OPTIMAL,16,0.000373
rand_d0.1_m100_n75_s63.txt,0.1,100,75,OPTIMAL,18,0.000408
rand_d0.1_m100_n75_s64.txt,0.1,100,75,OPTIMAL,13,0.000312
rand_d0.1_m100_n75_s65.txt,0.1,100,75,OPTIMAL,16,0.000287
rand_d0.1_m100_n75_s66.txt,0.1,100,75,OPTIMAL,16,0.000386
rand_d0.1_m100_n75_s67.txt,0.1,100,75,OPTIMAL,15,0.000448
rand_d0.1_m100_n75_s68.txt,0.1,100,75,OPTIMAL,15,0.000313
rand_d0.1_m100_n75_s69.txt,0.1,100,75,OPTIMAL,18,0.000714
rand_d0.1_m100_n75_s70.txt,0.1,100,75,OPTIMAL,15,0.000344
rand_d0.1_m100_n75_s71.txt,0.1,100,75,OPTIMAL,16,0.000331
rand_d0.1_m100_n75_s72.txt,0.1,100,75,OPTIMAL,14,0.000272
rand_d0.1_m100_n75_s73.txt,0.1,100,75,OPTIMAL,16,0.000401
rand_d0.1_m100_n75_s74.txt,0.1,100,75,OPTIMAL,18,0.00079
rand_d0.1_m100_n75_s75.txt,0.1,100,75,OPTIMAL,15,0.000223
rand_d0.1_m100_n75_s76.txt,0.1,100,75,OPTIMAL,19,0.000394
rand_d0.1_m100_n75_s77.txt,0.1,100,75,OPTIMAL,15,0.000323
rand_d0.1_m100_n75_s78.txt,0.1,100,75,OPTIMAL,17,0.000518
rand_d0.1_m100_n75_s79.txt,0.1,100,75,OPTIMAL,14,0.000288
rand_d0.1_m125_n75_s80.txt,0.1,125,75,OPTIMAL,17,0.000337
rand_d0.1_m125_n75_s81.txt,0.1,125,75,OPTIMAL,16,0.001074
rand_d0.1_m125_n75_s82.txt,0.1,125,75,OPTIMAL,17,0.000911
rand_d0.1_m125_n75_s83.txt,0.1,125,75,OPTIMAL,19,0.000381
rand_d0.1_m125_n75_s84.txt,0.1,125,75,OPTIMAL,15,0.000743
rand_d0.1_m125_n75_s85.txt,0.1,125,75,OPTIMAL,17,0.001883
rand_d0.1_m125_n75_s86.txt,0.1,125,75,OPTIMAL,18,0.000795
rand_d0.1_m125_n75_s87.txt,0.1,125,75,OPTIMAL,18,0.000446
rand_d0.1_m125_n75_s88.txt,0.1,125,75,OPTIMAL,15,0.00032
rand_d0.1_m125_n75_s89.txt,0.1,125,75,OPTIMAL,18,0.000421
rand_d0.1_m125_n75_s90.txt,0.1,125,75,OPTIMAL,16,0.000331
rand_d0.1_m125_n75_s91.txt,0.1,125,75,OPTIMAL,17,0.000646
rand_d0.1_m125_n75_s92.txt,0.1,125,75,OPTIMAL,16,0.000517
rand_d0.1_m125_n75_s93.txt,0.1,125,75,OPTIMAL,17,0.000737
rand_d0.1_m125_n75_s94.txt,0.1,125,75,OPTIMAL,20,0.000591
rand_d0.1_m125_n75_s95.txt,0.1,125,75,OPTIMAL,17,0.000404
rand_d0.1_m125_n75_s96.txt,0.1,125,75,OPTIMAL,19,0.000448
rand_d0.1_m125_n75_s97.txt,0.1,125,75,OPTIMAL,18,0.000404
rand_d0.1_m125_n75_s98.txt,0.1,125,75,OPTIMAL,17,0.000403
rand_d0.1_m125_n75_s99.txt,0.1,125,75,OPTIMAL,16,0.000283
rand_d0.1_m25_n75_s0.txt,0.1,25,75,OPTIMAL,9,0.000233
rand_d0.1_m25_n75_s1.txt,0.1,25,75,OPTIMAL,7,0.000232
rand_d0.1_m25_n75_s10.txt,0.1,25,75,OPTIMAL,10,0.000282
rand_d0.1_m25_n75_s11.txt,0.1,25,75,OPTIMAL,10,0.00017
rand_d0.1_m25_n75_s12.txt,0.1,25,75,OPTIMAL,7,0.000122
rand_d0.1_m25_n75_s13.txt,0.1,25,75,OPTIMAL,8,0.000138
rand_d0.1_m25_n75_s14.txt,0.1,25,75,OPTIMAL,7,0.000136
rand_d0.1_m25_n75_s15.txt,0.1,25,75,OPTIMAL,9,0.000189
rand_d0.1_m25_n75_s16.txt,0.1,25,75,OPTIMAL,7,0.000162
rand_d0.1_m25_n75_s17.txt,0.1,25,75,OPTIMAL,8,0.000206
rand_d0.1_m25_n75_s18.txt,0.1,25,75,OPTIMAL,10,0.000338
rand_d0.1_m25_n75_s19.txt,0.1,25,75,OPTIMAL,8,0.00013
rand_d0.1_m25_n75_s2.txt,0.1,25,75,OPTIMAL,8,0.000133
rand_d0.1_m25_n75_s3.txt,0.1,25,75,OPTIMAL,8,0.000106
rand_d0.1_m25_n75_s4.txt,0.1,25,75,OPTIMAL,8,0.00011
rand_d0.1_m25_n75_s5.txt,0.1,25,75,OPTIMAL,8,0.000227
rand_d0.1_m25_n75_s6.txt,0.1,25,75,OPTIMAL,7,0.000143
rand_d0.1_m25_n75_s7.txt,0.1,25,75,OPTIMAL,7,0.000132
rand_d0.1_m25_n75_s8.txt,0.1,25,75,OPTIMAL,9,0.000191
rand_d0.1_m25_n75_s9.txt,0.1,25,75,OPTIMAL,8,0.000133
rand_d0.1_m50_n75_s20.txt,0.1,50,75,OPTIMAL,11,0.000221
rand_d0.1_m50_n75_s21.txt,0.1,50,75,OPTIMAL,13,0.000298
rand_d0.1_m50_n75_s22.txt,0.1,50,75,OPTIMAL,12,0.000247
rand_d0.1_m50_n75_s23.txt,0.1,50,75,OPTIMAL,11,0.000242
rand_d0.1_m50_n75_s24.txt,0.1,50,75,OPTIMAL,11,0.000457
rand_d0.1_m50_n75_s25.txt,0.1,50,75,OPTIMAL,10,0.000243
rand_d0.1_m50_n75_s26.txt,0.1,50,75,OPTIMAL,11,0.000214
rand_d0.1_m50_n75_s27.txt,0.1,50,75,OPTIMAL,12,0.000249
rand_d0.1_m50_n75_s28.txt,0.1,50,75,OPTIMAL,13,0.000288
rand_d0.1_m50_n75_s29.txt,0.1,50,75,OPTIMAL,12,0.000338
rand_d0.1_m50_n75_s30.txt,0.1,50,75,OPTIMAL,13,0.000231
rand_d0.1_m50_n75_s31.txt,0.1,50,75,OPTIMAL,11,0.00022
rand_d0.1_m50_n75_s32.txt,0.1,50,75,OPTIMAL,12,0.000212
rand_d0.1_m50_n75_s33.txt,0.1,50,75,OPTIMAL,12,0.000288
rand_d0.1_m50_n75_s34.txt,0.1,50,75,OPTIMAL,13,0.000298
rand_d0.1_m50_n75_s35.txt,0.1,50,75,OPTIMAL,10,0.000203
rand_d0.1_m50_n75_s36.txt,0.1,50,75,OPTIMAL,12,0.000281
rand_d0.1_m50_n75_s37.txt,0.1,50,75,OPTIMAL,11,0.0004
rand_d0.1_m50_n75_s38.txt,0.1,50,75,OPTIMAL,12,0.000168
rand_d0.1_m50_n75_s39.txt,0.1,50,75,OPTIMAL,10,0.000193
rand_d0.1_m75_n100_s340.txt,0.1,75,100,OPTIMAL,12,0.000351
rand_d0.1_m75_n100_s341.txt,0.1,75,100,OPTIMAL,12,0.00034
