arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m100_n75_s60.txt,0.1,100,75,OPTIMAL,15,16149357,8010205,115.26,174.147.217
rand_d0.1_m100_n75_s61.txt,0.1,100,75,OPTIMAL,14,17330184,8592073,115.26,188.770.927
rand_d0.1_m100_n75_s62.txt,0.1,100,75,OPTIMAL,15,5719941,2835611,115.26,61.781.385
rand_d0.1_m100_n75_s63.txt,0.1,100,75,OPTIMAL,15,8931585,4385117,115.26,97.736.742
rand_d0.1_m100_n75_s64.txt,0.1,100,75,OPTIMAL,13,163492,81577,115.26,2.570.765
rand_d0.1_m100_n75_s65.txt,0.1,100,75,OPTIMAL,15,36801875,18280356,115.26,386.827.193
rand_d0.1_m100_n75_s66.txt,0.1,100,75,OPTIMAL,14,30469685,15039820,115.26,317.944.821
rand_d0.1_m100_n75_s67.txt,0.1,100,75,OPTIMAL,13,2051444,1022087,115.26,25.788.285
rand_d0.1_m100_n75_s68.txt,0.1,100,75,OPTIMAL,14,1585668,786522,115.26,17.305.726
rand_d0.1_m100_n75_s69.txt,0.1,100,75,OPTIMAL,15,23380512,11618020,115.26,248.832.911
rand_d0.1_m100_n75_s70.txt,0.1,100,75,OPTIMAL,13,3454857,1721404,115.26,40.571.514
rand_d0.1_m100_n75_s71.txt,0.1,100,75,OPTIMAL,14,2654610,1311134,115.26,30.270.164
rand_d0.1_m100_n75_s72.txt,0.1,100,75,OPTIMAL,14,1606259,802494,115.26,18.455.028
rand_d0.1_m100_n75_s73.txt,0.1,100,75,OPTIMAL,14,5714594,2843430,115.26,6.719.789
rand_d0.1_m100_n75_s74.txt,0.1,100,75,OPTIMAL,16,1309321,641767,115.26,14.387.571
rand_d0.1_m100_n75_s75.txt,0.1,100,75,OPTIMAL,13,5622164,2805508,115.26,63.765.479
rand_d0.1_m100_n75_s76.txt,0.1,100,75,OPTIMAL,16,52409860,26096096,115.26,550.564.268
rand_d0.1_m100_n75_s77.txt,0.1,100,75,OPTIMAL,14,6981465,3472217,115.26,76.708.177
rand_d0.1_m100_n75_s78.txt,0.1,100,75,OPTIMAL,15,69580031,34424830,115.26,728.777.707
rand_d0.1_m100_n75_s79.txt,0.1,100,75,OPTIMAL,14,2082572,1036830,115.26,24.017.985
rand_d0.1_m125_n75_s80.txt,0.1,125,75,TIMEOUT,16,178180357,88638335,115.26,1.800.000.659
rand_d0.1_m125_n75_s81.txt,0.1,125,75,OPTIMAL,15,54700410,27303143,115.26,58.767.822
rand_d0.1_m125_n75_s82.txt,0.1,125,75,OPTIMAL,14,2190652,1091510,115.26,274.252
rand_d0.1_m125_n75_s83.txt,0.1,125,75,OPTIMAL,17,165251674,81742045,115.26,1.565.937.922
rand_d0.1_m125_n75_s84.txt,0.1,125,75,OPTIMAL,14,2070483,1026910,115.26,23.116.675
rand_d0.1_m125_n75_s85.txt,0.1,125,75,OPTIMAL,16,50849127,25223438,115.26,570.585.418
rand_d0.1_m125_n75_s86.txt,0.1,125,75,OPTIMAL,16,9001536,4468946,115.26,99.747.341
rand_d0.1_m125_n75_s87.txt,0.1,125,75,OPTIMAL,16,63598815,31685608,115.26,705.545.037
rand_d0.1_m125_n75_s88.txt,0.1,125,75,OPTIMAL,13,1355991,673944,115.26,17.902.496
rand_d0.1_m125_n75_s89.txt,0.1,125,75,TIMEOUT,16,179180240,89217977,115.26,180.000.016
rand_d0.1_m125_n75_s90.txt,0.1,125,75,OPTIMAL,15,19499601,9733611,115.26,217.213.993
rand_d0.1_m125_n75_s91.txt,0.1,125,75,OPTIMAL,15,20628917,10289941,115.26,221.777.365
rand_d0.1_m125_n75_s92.txt,0.1,125,75,OPTIMAL,15,14658571,7320372,115.26,163.957.028
rand_d0.1_m125_n75_s93.txt,0.1,125,75,OPTIMAL,15,25881532,12865364,115.26,264.721.585
rand_d0.1_m125_n75_s94.txt,0.1,125,75,TIMEOUT,16,188012766,92243529,115.26,1.800.000.126
rand_d0.1_m125_n75_s95.txt,0.1,125,75,OPTIMAL,16,9401828,4669725,115.26,106.436.425
rand_d0.1_m125_n75_s96.txt,0.1,125,75,OPTIMAL,16,32457939,16175351,115.26,353.943.689
rand_d0.1_m125_n75_s97.txt,0.1,125,75,OPTIMAL,15,12180454,6071693,115.26,137.057.386
rand_d0.1_m125_n75_s98.txt,0.1,125,75,OPTIMAL,16,34586171,17238787,115.26,383.784.851
rand_d0.1_m125_n75_s99.txt,0.1,125,75,OPTIMAL,14,2491273,1243963,115.26,32.192.689
rand_d0.1_m25_n75_s0.txt,0.1,25,75,OPTIMAL,7,1192,571,115.26,11.956
rand_d0.1_m25_n75_s1.txt,0.1,25,75,OPTIMAL,7,231,115,115.26,2.947
rand_d0.1_m25_n75_s10.txt,0.1,25,75,OPTIMAL,8,10244,4503,115.26,80.639
rand_d0.1_m25_n75_s11.txt,0.1,25,75,OPTIMAL,9,5917,2854,115.26,57.723
rand_d0.1_m25_n75_s12.txt,0.1,25,75,OPTIMAL,7,91,46,115.26,1.548
rand_d0.1_m25_n75_s13.txt,0.1,25,75,OPTIMAL,8,265,131,115.26,3.172
rand_d0.1_m25_n75_s14.txt,0.1,25,75,OPTIMAL,7,117,59,115.26,1.712
rand_d0.1_m25_n75_s15.txt,0.1,25,75,OPTIMAL,8,1624,677,115.26,13.862
rand_d0.1_m25_n75_s16.txt,0.1,25,75,OPTIMAL,7,351,176,115.26,6.783
rand_d0.1_m25_n75_s17.txt,0.1,25,75,OPTIMAL,7,310,146,115.26,4.253
rand_d0.1_m25_n75_s18.txt,0.1,25,75,OPTIMAL,8,997,431,115.26,12.496
rand_d0.1_m25_n75_s19.txt,0.1,25,75,OPTIMAL,7,78,34,115.26,114
rand_d0.1_m25_n75_s2.txt,0.1,25,75,OPTIMAL,8,1229,563,115.26,19.202
rand_d0.1_m25_n75_s3.txt,0.1,25,75,OPTIMAL,7,370,168,115.26,4.003
rand_d0.1_m25_n75_s4.txt,0.1,25,75,OPTIMAL,8,734,364,115.26,7.831
rand_d0.1_m25_n75_s5.txt,0.1,25,75,OPTIMAL,6,205,89,115.26,4.378
rand_d0.1_m25_n75_s6.txt,0.1,25,75,OPTIMAL,7,468,232,115.26,5.421
rand_d0.1_m25_n75_s7.txt,0.1,25,75,OPTIMAL,7,212,106,115.26,2.836
rand_d0.1_m25_n75_s8.txt,0.1,25,75,OPTIMAL,8,2103,887,115.26,19.167
rand_d0.1_m25_n75_s9.txt,0.1,25,75,OPTIMAL,7,670,306,115.26,7.261
rand_d0.1_m50_n75_s20.txt,0.1,50,75,OPTIMAL,10,43048,21095,115.26,463.876
rand_d0.1_m50_n75_s21.txt,0.1,50,75,OPTIMAL,11,257730,126378,115.26,4.294.931
rand_d0.1_m50_n75_s22.txt,0.1,50,75,OPTIMAL,11,41930,20676,115.26,76.284
rand_d0.1_m50_n75_s23.txt,0.1,50,75,OPTIMAL,10,27757,13489,115.26,309.616
rand_d0.1_m50_n75_s24.txt,0.1,50,75,OPTIMAL,10,7205,3521,115.26,8.063
rand_d0.1_m50_n75_s25.txt,0.1,50,75,OPTIMAL,9,4181,2085,115.26,48.242
rand_d0.1_m50_n75_s26.txt,0.1,50,75,OPTIMAL,10,39965,19665,115.26,432.944
rand_d0.1_m50_n75_s27.txt,0.1,50,75,OPTIMAL,11,161145,79298,115.26,1.646.294
rand_d0.1_m50_n75_s28.txt,0.1,50,75,OPTIMAL,11,310386,146919,115.26,2.843.068
rand_d0.1_m50_n75_s29.txt,0.1,50,75,OPTIMAL,10,20966,10318,115.26,23.768
rand_d0.1_m50_n75_s30.txt,0.1,50,75,OPTIMAL,11,84710,41961,115.26,866.384
rand_d0.1_m50_n75_s31.txt,0.1,50,75,OPTIMAL,10,13467,6599,115.26,210.358
rand_d0.1_m50_n75_s32.txt,0.1,50,75,OPTIMAL,11,86224,40737,115.26,1.564.018
rand_d0.1_m50_n75_s33.txt,0.1,50,75,OPTIMAL,11,54829,26436,115.26,1.054.856
rand_d0.1_m50_n75_s34.txt,0.1,50,75,OPTIMAL,11,372903,178340,115.26,3.701.904
rand_d0.1_m50_n75_s35.txt,0.1,50,75,OPTIMAL,10,31383,15560,115.26,337.225
rand_d0.1_m50_n75_s36.txt,0.1,50,75,OPTIMAL,11,58789,28439,115.26,560.919
rand_d0.1_m50_n75_s37.txt,0.1,50,75,OPTIMAL,10,12988,6166,115.26,137.936
rand_d0.1_m50_n75_s38.txt,0.1,50,75,OPTIMAL,11,90881,44771,115.26,941.055
rand_d0.1_m50_n75_s39.txt,0.1,50,75,OPTIMAL,10,10965,5440,115.26,124.189
rand_d0.1_m75_n100_s340.txt,0.1,75,100,OPTIMAL,11,386497,190444,115.26,8.010.045
rand_d0.1_m75_n100_s341.txt,0.1,75,100,OPTIMAL,11,643336,320945,115.26,10.746.474
rand_d0.1_m75_n100_s342.txt,0.1,75,100,OPTIMAL,12,4853295,2412143,115.26,7.677.414
rand_d0.1_m75_n100_s343.txt,0.1,75,100,OPTIMAL,11,4185976,2078518,115.26,70.155.113
rand_d0.1_m75_n100_s344.txt,0.1,75,100,OPTIMAL,11,1113978,553690,115.26,18.560.959
rand_d0.1_m75_n100_s345.txt,0.1,75,100,OPTIMAL,12,2476423,1236428,115.26,42.533.635
rand_d0.1_m75_n100_s346.txt,0.1,75,100,OPTIMAL,11,957225,478007,115.26,16.441.824
rand_d0.1_m75_n100_s347.txt,0.1,75,100,OPTIMAL,12,3396857,1682563,115.26,54.400.879
rand_d0.1_m75_n100_s348.txt,0.1,75,100,OPTIMAL,10,58366,29136,115.26,960.742
rand_d0.1_m75_n100_s349.txt,0.1,75,100,OPTIMAL,12,4309655,2117351,115.26,65.983.299
rand_d0.1_m75_n100_s350.txt,0.1,75,100,OPTIMAL,11,743689,370677,115.26,13.279.049
rand_d0.1_m75_n100_s351.txt,0.1,75,100,OPTIMAL,12,1624845,806500,115.26,27.744.732
rand_d0.1_m75_n100_s352.txt,0.1,75,100,OPTIMAL,12,3140197,1564379,115.26,52.310.477
rand_d0.1_m75_n100_s353.txt,0.1,75,100,OPTIMAL,12,4198884,2076581,115.26,64.087.465
rand_d0.1_m75_n100_s354.txt,0.1,75,100,OPTIMAL,11,1450526,724252,115.26,25.105.959
rand_d0.1_m75_n100_s355.txt,0.1,75,100,OPTIMAL,11,390807,194833,115.26,5.963.652
rand_d0.1_m75_n100_s356.txt,0.1,75,100,OPTIMAL,12,2968413,1472152,115.26,51.201.346
rand_d0.1_m75_n100_s357.txt,0.1,75,100,OPTIMAL,12,2099426,1044699,115.26,34.275.098
rand_d0.1_m75_n100_s358.txt,0.1,75,100,OPTIMAL,10,56156,27357,115.26,91.829
rand_d0.1_m75_n100_s359.txt,0.1,75,100,OPTIMAL,12,695990,345816,115.26,12.739.371
rand_d0.1_m75_n125_s360.txt,0.1,75,125,OPTIMAL,12,2940525,1464485,115.26,63.213.224
rand_d0.1_m75_n125_s361.txt,0.1,75,125,OPTIMAL,11,959391,477686,115.26,21.486.284
rand_d0.1_m75_n125_s362.txt,0.1,75,125,OPTIMAL,11,2423698,1191390,115.26,48.963.431
rand_d0.1_m75_n125_s363.txt,0.1,75,125,OPTIMAL,12,11713708,5813003,115.26,235.844.331
rand_d0.1_m75_n125_s364.txt,0.1,75,125,OPTIMAL,12,2352295,1170167,115.26,52.521.405
rand_d0.1_m75_n125_s365.txt,0.1,75,125,OPTIMAL,11,15511719,7703106,115.26,317.059.316
rand_d0.1_m75_n125_s366.txt,0.1,75,125,OPTIMAL,10,115978,57822,115.26,2.318.292
rand_d0.1_m75_n125_s367.txt,0.1,75,125,OPTIMAL,12,9576171,4769146,115.26,207.211.735
rand_d0.1_m75_n125_s368.txt,0.1,75,125,OPTIMAL,11,1095386,544031,115.26,25.048.079
rand_d0.1_m75_n125_s369.txt,0.1,75,125,OPTIMAL,11,807325,402838,115.26,1.734.391
rand_d0.1_m75_n125_s370.txt,0.1,75,125,OPTIMAL,11,1502417,747876,115.26,32.482.376
rand_d0.1_m75_n125_s371.txt,0.1,75,125,OPTIMAL,11,2509600,1243611,115.26,53.809.671
rand_d0.1_m75_n125_s372.txt,0.1,75,125,OPTIMAL,11,972808,480728,115.26,20.083.799
rand_d0.1_m75_n125_s373.txt,0.1,75,125,OPTIMAL,10,914549,455812,115.26,22.092.253
rand_d0.1_m75_n125_s374.txt,0.1,75,125,OPTIMAL,11,4918690,2439636,115.26,102.216.368
rand_d0.1_m75_n125_s375.txt,0.1,75,125,OPTIMAL,11,3159476,1573839,115.26,6.641.481
rand_d0.1_m75_n125_s376.txt,0.1,75,125,OPTIMAL,11,4980492,2464910,115.26,107.036.578
rand_d0.1_m75_n125_s377.txt,0.1,75,125,OPTIMAL,11,804690,397352,115.26,17.179.958
rand_d0.1_m75_n125_s378.txt,0.1,75,125,OPTIMAL,11,801004,398373,115.26,18.024.207
rand_d0.1_m75_n125_s379.txt,0.1,75,125,OPTIMAL,11,1003793,500457,115.26,23.913.011
rand_d0.1_m75_n25_s300.txt,0.1,75,25,OPTIMAL,16,331,162,115.26,1.175
rand_d0.1_m75_n25_s301.txt,0.1,75,25,OPTIMAL,16,431,214,115.26,1.631
rand_d0.1_m75_n25_s302.txt,0.1,75,25,OPTIMAL,16,217,107,115.26,1.228
rand_d0.1_m75_n25_s303.txt,0.1,75,25,OPTIMAL,16,238,108,115.26,954
rand_d0.1_m75_n25_s304.txt,0.1,75,25,OPTIMAL,15,316,150,115.26,1.223
rand_d0.1_m75_n25_s305.txt,0.1,75,25,OPTIMAL,18,351,176,115.26,2.211
rand_d0.1_m75_n25_s306.txt,0.1,75,25,OPTIMAL,17,496,234,115.26,1.655
rand_d0.1_m75_n25_s307.txt,0.1,75,25,OPTIMAL,17,195,92,115.26,1.013
rand_d0.1_m75_n25_s308.txt,0.1,75,25,OPTIMAL,18,255,122,115.26,1.089
rand_d0.1_m75_n25_s309.txt,0.1,75,25,OPTIMAL,13,193,89,115.26,853
rand_d0.1_m75_n25_s310.txt,0.1,75,25,OPTIMAL,16,289,138,115.26,1.166
rand_d0.1_m75_n25_s311.txt,0.1,75,25,OPTIMAL,16,54,23,115.26,534
rand_d0.1_m75_n25_s312.txt,0.1,75,25,OPTIMAL,18,143,72,115.26,751
rand_d0.1_m75_n25_s313.txt,0.1,75,25,OPTIMAL,15,52,25,115.26,436
rand_d0.1_m75_n25_s314.txt,0.1,75,25,OPTIMAL,16,418,197,115.26,1.481
rand_d0.1_m75_n25_s315.txt,0.1,75,25,OPTIMAL,15,138,67,115.26,757
rand_d0.1_m75_n25_s316.txt,0.1,75,25,OPTIMAL,18,88,40,115.26,559
rand_d0.1_m75_n25_s317.txt,0.1,75,25,OPTIMAL,17,197,97,115.26,147
rand_d0.1_m75_n25_s318.txt,0.1,75,25,OPTIMAL,17,442,218,115.26,1.632
rand_d0.1_m75_n25_s319.txt,0.1,75,25,OPTIMAL,17,397,196,115.26,1.367
rand_d0.1_m75_n50_s320.txt,0.1,75,50,OPTIMAL,14,44108,21330,115.26,281.028
rand_d0.1_m75_n50_s321.txt,0.1,75,50,OPTIMAL,14,50509,24811,115.26,31.068
rand_d0.1_m75_n50_s322.txt,0.1,75,50,OPTIMAL,14,51008,25188,115.26,310.105
rand_d0.1_m75_n50_s323.txt,0.1,75,50,OPTIMAL,14,324582,158115,115.26,3.606.801
rand_d0.1_m75_n50_s324.txt,0.1,75,50,OPTIMAL,14,166453,82058,115.26,1.381.682
rand_d0.1_m75_n50_s325.txt,0.1,75,50,OPTIMAL,13,72066,34742,115.26,459.374
rand_d0.1_m75_n50_s326.txt,0.1,75,50,OPTIMAL,14,31032,15246,115.26,200.313
rand_d0.1_m75_n50_s327.txt,0.1,75,50,OPTIMAL,13,93274,45842,115.26,577.773
rand_d0.1_m75_n50_s328.txt,0.1,75,50,OPTIMAL,14,162729,80014,115.26,991.359
rand_d0.1_m75_n50_s329.txt,0.1,75,50,OPTIMAL,16,734009,351171,115.26,3.808.851
rand_d0.1_m75_n50_s330.txt,0.1,75,50,OPTIMAL,13,3621,1705,115.26,24.828
rand_d0.1_m75_n50_s331.txt,0.1,75,50,OPTIMAL,13,46296,21884,115.26,278.651
rand_d0.1_m75_n50_s332.txt,0.1,75,50,OPTIMAL,13,42246,20783,115.26,513.076
rand_d0.1_m75_n50_s333.txt,0.1,75,50,OPTIMAL,13,423745,208101,115.26,4.048.773
rand_d0.1_m75_n50_s334.txt,0.1,75,50,OPTIMAL,14,534854,262377,115.26,2.977.471
rand_d0.1_m75_n50_s335.txt,0.1,75,50,OPTIMAL,14,190072,93208,115.26,1.163.442
rand_d0.1_m75_n50_s336.txt,0.1,75,50,OPTIMAL,15,71408,35056,115.26,417.249
rand_d0.1_m75_n50_s337.txt,0.1,75,50,OPTIMAL,16,52458,25252,115.26,277.438
rand_d0.1_m75_n50_s338.txt,0.1,75,50,OPTIMAL,15,127734,62510,115.26,689.032
rand_d0.1_m75_n50_s339.txt,0.1,75,50,OPTIMAL,14,66064,32042,115.26,410.639
rand_d0.1_m75_n75_s40.txt,0.1,75,75,OPTIMAL,13,985999,484028,115.26,11.874.642
rand_d0.1_m75_n75_s41.txt,0.1,75,75,OPTIMAL,11,30560,15193,115.26,364.228
rand_d0.1_m75_n75_s42.txt,0.1,75,75,OPTIMAL,13,1305499,649753,115.26,15.443.838
rand_d0.1_m75_n75_s43.txt,0.1,75,75,OPTIMAL,12,57231,28249,115.26,645.486
rand_d0.1_m75_n75_s44.txt,0.1,75,75,OPTIMAL,12,908367,451884,115.26,11.480.957
rand_d0.1_m75_n75_s45.txt,0.1,75,75,OPTIMAL,12,140042,69726,115.26,1.554.602
rand_d0.1_m75_n75_s46.txt,0.1,75,75,OPTIMAL,13,4020463,1998897,115.26,43.694.934
rand_d0.1_m75_n75_s47.txt,0.1,75,75,OPTIMAL,13,2862295,1402439,115.26,31.624.319
rand_d0.1_m75_n75_s48.txt,0.1,75,75,OPTIMAL,13,547199,263446,115.26,7.209.997
rand_d0.1_m75_n75_s49.txt,0.1,75,75,OPTIMAL,13,2014411,996243,115.26,22.138.454
rand_d0.1_m75_n75_s50.txt,0.1,75,75,OPTIMAL,12,115296,57451,115.26,2.410.326
rand_d0.1_m75_n75_s51.txt,0.1,75,75,OPTIMAL,12,358025,177249,115.26,3.785.226
rand_d0.1_m75_n75_s52.txt,0.1,75,75,OPTIMAL,13,14130019,6982400,115.26,151.668.546
rand_d0.1_m75_n75_s53.txt,0.1,75,75,OPTIMAL,12,267575,133379,115.26,4.526.448
rand_d0.1_m75_n75_s54.txt,0.1,75,75,OPTIMAL,12,524137,260418,115.26,5.820.603
rand_d0.1_m75_n75_s55.txt,0.1,75,75,OPTIMAL,12,101904,50689,115.26,1.125.687
rand_d0.1_m75_n75_s56.txt,0.1,75,75,OPTIMAL,12,560638,278979,115.26,7.925.231
rand_d0.1_m75_n75_s57.txt,0.1,75,75,OPTIMAL,12,156366,76974,115.26,1.586.685
rand_d0.1_m75_n75_s58.txt,0.1,75,75,OPTIMAL,13,362494,178763,115.26,3.667.586
rand_d0.1_m75_n75_s59.txt,0.1,75,75,OPTIMAL,13,569610,278976,115.26,7.159.885
rand_d0.3_m100_n75_s160.txt,0.3,100,75,OPTIMAL,6,70349,35172,115.26,876.361
rand_d0.3_m100_n75_s161.txt,0.3,100,75,OPTIMAL,6,47927,23964,115.26,417.179
rand_d0.3_m100_n75_s162.txt,0.3,100,75,OPTIMAL,6,51071,25536,115.26,447.912
rand_d0.3_m100_n75_s163.txt,0.3,100,75,OPTIMAL,6,64507,32254,115.26,526.208
rand_d0.3_m100_n75_s164.txt,0.3,100,75,OPTIMAL,6,58406,29203,115.26,457.827
rand_d0.3_m100_n75_s165.txt,0.3,100,75,OPTIMAL,6,47463,23731,115.26,389.108
rand_d0.3_m100_n75_s166.txt,0.3,100,75,OPTIMAL,6,38455,19218,115.26,340.667
rand_d0.3_m100_n75_s167.txt,0.3,100,75,OPTIMAL,6,89835,44903,115.26,742.651
rand_d0.3_m100_n75_s168.txt,0.3,100,75,OPTIMAL,6,63931,31964,115.26,508.044
rand_d0.3_m100_n75_s169.txt,0.3,100,75,OPTIMAL,6,48899,24450,115.26,401.981
rand_d0.3_m100_n75_s170.txt,0.3,100,75,OPTIMAL,6,52530,26265,115.26,470.521
rand_d0.3_m100_n75_s171.txt,0.3,100,75,OPTIMAL,6,56028,28014,115.26,486.891
