arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m100_n75_s60.txt,0.1,100,75,OPTIMAL,15,15539506,14370887,692.12,1018.595676
rand_d0.1_m100_n75_s61.txt,0.1,100,75,OPTIMAL,14,2106333,145506,692.12,165.899673
rand_d0.1_m100_n75_s62.txt,0.1,100,75,OPTIMAL,15,3389060,3268172,692.12,213.598204
rand_d0.1_m100_n75_s63.txt,0.1,100,75,OPTIMAL,15,4720162,506331,1292.55,325.006047
rand_d0.1_m100_n75_s64.txt,0.1,100,75,OPTIMAL,13,16774,16706,1292.55,1.534455
rand_d0.1_m100_n75_s65.txt,0.1,100,75,OPTIMAL,15,4974662,4199452,1292.55,396.505774
rand_d0.1_m100_n75_s66.txt,0.1,100,75,OPTIMAL,14,8868428,3231298,1730.47,694.322089
rand_d0.1_m100_n75_s67.txt,0.1,100,75,OPTIMAL,13,1003397,357006,1730.47,74.632029
rand_d0.1_m100_n75_s68.txt,0.1,100,75,OPTIMAL,14,4237546,3909867,1730.47,255.42677
rand_d0.1_m100_n75_s69.txt,0.1,100,75,TIMEOUT,18,22615730,3514109,5119.44,2370.129618
rand_d0.1_m100_n75_s70.txt,0.1,100,75,OPTIMAL,13,3738420,1685357,5119.44,251.100372
rand_d0.1_m100_n75_s71.txt,0.1,100,75,OPTIMAL,14,1602616,638176,5119.44,137.139266
rand_d0.1_m100_n75_s72.txt,0.1,100,75,OPTIMAL,14,158792,158192,5119.44,13.937296
rand_d0.1_m100_n75_s73.txt,0.1,100,75,OPTIMAL,14,2943678,755880,5119.44,208.390272
rand_d0.1_m100_n75_s74.txt,0.1,100,75,OPTIMAL,16,189239,66561,5119.44,14.187093
rand_d0.1_m100_n75_s75.txt,0.1,100,75,OPTIMAL,13,9534029,2278007,5119.44,645.59068
rand_d0.1_m100_n75_s76.txt,0.1,100,75,OPTIMAL,16,11469241,2425807,5119.44,898.870589
rand_d0.1_m100_n75_s77.txt,0.1,100,75,TIMEOUT,15,31369085,26851893,5119.44,1803.017178
rand_d0.1_m100_n75_s78.txt,0.1,100,75,OPTIMAL,15,13996978,4371824,5119.44,973.798062
rand_d0.1_m100_n75_s79.txt,0.1,100,75,OPTIMAL,14,228295,221918,5119.44,14.499104
rand_d0.1_m125_n75_s80.txt,0.1,125,75,TIMEOUT,17,23374228,16569665,5119.44,1804.324085
