arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m100_n75_s60.txt,0.1,100,75,OPTIMAL,15,28528469,23307980,1780.38,762.636.965
rand_d0.1_m100_n75_s61.txt,0.1,100,75,OPTIMAL,14,23323369,2746422,6196.88,698.126.092
rand_d0.1_m100_n75_s62.txt,0.1,100,75,OPTIMAL,15,11631233,11316598,6196.88,296.799.661
rand_d0.1_m100_n75_s63.txt,0.1,100,75,OPTIMAL,15,23699367,2671862,6381.07,71.638.872
rand_d0.1_m100_n75_s64.txt,0.1,100,75,OPTIMAL,13,81915,81577,6381.07,1.920.049
rand_d0.1_m100_n75_s65.txt,0.1,100,75,TIMEOUT,16,64444525,51930656,6381.07,180.929.795
rand_d0.1_m100_n75_s66.txt,0.1,100,75,OPTIMAL,14,29883510,5971700,7101.42,911.587.181
rand_d0.1_m100_n75_s67.txt,0.1,100,75,OPTIMAL,13,6351501,1254795,7101.42,196.923.941
rand_d0.1_m100_n75_s68.txt,0.1,100,75,OPTIMAL,14,4560811,3920051,7101.42,116.525.815
rand_d0.1_m100_n75_s69.txt,0.1,100,75,OUT_OF_MEMORY,18,>44000000,>7045253,11495.3,1302.2
rand_d0.1_m100_n75_s70.txt,0.1,100,75,OPTIMAL,13,5001855,889680,1231.88,158.343.455
rand_d0.1_m100_n75_s71.txt,0.1,100,75,OPTIMAL,14,7334976,1666150,1697.22,231.229.648
rand_d0.1_m100_n75_s72.txt,0.1,100,75,OPTIMAL,14,803765,802494,1697.22,22.873.957
rand_d0.1_m100_n75_s73.txt,0.1,100,75,OPTIMAL,14,13560192,2595649,3303.93,438.432.061
rand_d0.1_m100_n75_s74.txt,0.1,100,75,OPTIMAL,16,1761785,626560,3303.93,54.395.862
rand_d0.1_m100_n75_s75.txt,0.1,100,75,OPTIMAL,13,18296193,2557546,4709.18,579.548.756
rand_d0.1_m100_n75_s76.txt,0.1,100,75,OUT_OF_MEMORY,19,>45000000,>8376574,11478.3,1468.4
rand_d0.1_m100_n75_s77.txt,0.1,100,75,OPTIMAL,14,15582007,14784434,619.12,436.806.869
rand_d0.1_m100_n75_s78.txt,0.1,100,75,OUT_OF_MEMORY,17,>44750000,>7246715,11334.5,1451.3
rand_d0.1_m100_n75_s79.txt,0.1,100,75,OPTIMAL,14,1045742,1036830,100.69,25.820.233
rand_d0.1_m125_n75_s80.txt,0.1,125,75,OUT_OF_MEMORY,17,>42500000,>4979267,11441.9,1353.4
rand_d0.1_m125_n75_s81.txt,0.1,125,75,TIMEOUT,16,60188471,33905380,7996.87,1.816.986.978
